,Company Name,Rating,Reviews,Salaries,Interviews,Jobs
0,TCS,3.8,74.1k Reviews,848.8k Salaries,https://www.ambitionbox.com/interviews/tcs-interviews,926 Jobs
1,Accenture,4.0,47k Reviews,580.5k Salaries,https://www.ambitionbox.com/interviews/accenture-interviews,30.3k Jobs
2,Cognizant,3.9,42.3k Reviews,556k Salaries,https://www.ambitionbox.com/interviews/cognizant-interviews,390 Jobs
3,Wipro,3.8,39.8k Reviews,423.1k Salaries,https://www.ambitionbox.com/interviews/wipro-interviews,232 Jobs
4,Capgemini,3.9,34.4k Reviews,413k Salaries,https://www.ambitionbox.com/interviews/capgemini-interviews,707 Jobs
5,HDFC Bank,4.0,34.3k Reviews,131.2k Salaries,https://www.ambitionbox.com/interviews/hdfc-bank-interviews,222 Jobs
6,ICICI Bank,4.0,33.9k Reviews,141.3k Salaries,https://www.ambitionbox.com/interviews/icici-bank-interviews,53 Jobs
7,Infosys,3.8,32.2k Reviews,456k Salaries,https://www.ambitionbox.com/interviews/infosys-interviews,1.1k Jobs
8,HCLTech,3.7,29k Reviews,293.8k Salaries,https://www.ambitionbox.com/interviews/hcl-technologies-interviews,305 Jobs
9,Tech Mahindra,3.7,28k Reviews,249k Salaries,https://www.ambitionbox.com/interviews/tech-mahindra-interviews,981 Jobs
10,Genpact,3.9,26.5k Reviews,186.8k Salaries,https://www.ambitionbox.com/interviews/genpact-interviews,620 Jobs
11,Axis Bank,3.9,22.3k Reviews,96.1k Salaries,https://www.ambitionbox.com/interviews/axis-bank-interviews,173 Jobs
12,Teleperformance,3.6,22.3k Reviews,83.9k Salaries,https://www.ambitionbox.com/interviews/teleperformance-interviews,341 Jobs
13,Concentrix Corporation,3.9,22.1k Reviews,105.5k Salaries,https://www.ambitionbox.com/interviews/concentrix-corporation-interviews,88 Jobs
14,Jio,4.0,20.8k Reviews,69.4k Salaries,https://www.ambitionbox.com/interviews/jio-interviews,130 Jobs
15,Amazon,4.1,20.8k Reviews,120.9k Salaries,https://www.ambitionbox.com/interviews/amazon-interviews,202 Jobs
16,IBM,4.1,19.9k Reviews,217.3k Salaries,https://www.ambitionbox.com/interviews/ibm-interviews,2.9k Jobs
17,Reliance Retail,4.0,19k Reviews,59.6k Salaries,https://www.ambitionbox.com/interviews/reliance-retail-interviews,141 Jobs
18,HDB Financial Services,4.0,18.3k Reviews,49.3k Salaries,https://www.ambitionbox.com/interviews/hdb-financial-services-interviews,118 Jobs
19,Larsen & Toubro Limited,4.1,16.8k Reviews,79.8k Salaries,https://www.ambitionbox.com/interviews/larsen-and-toubro-limited-interviews,167 Jobs
20,Vodafone Idea,4.2,15.4k Reviews,58.1k Salaries,https://www.ambitionbox.com/interviews/vodafone-idea-interviews,5 Jobs
21,BYJU'S,3.1,14.8k Reviews,59k Salaries,https://www.ambitionbox.com/interviews/byjus-interviews,534 Jobs
